,Time,Text,Sentiment
95,2019-01-08 23:59:33+00:00,"netflix, hulu, amazon seriously need pay attention. this the show want.","[19.990171150537055, 11.73285011318611, 0.04037116106536587]"
96,2019-01-08 23:59:30+00:00,"not be outdone, amazon tried similar gimmick. unfortunately, chose focus their distribution centers. riders forced work hour shifts impossible quotas fill.","[75.3421982763532, 18.244128617358157, -13.699600014550086]"
97,2019-01-08 23:59:29+00:00,vulpatriot jaycrwt amazon always hiring,"[10.043723015043126, -0.2485755080959362, -11.760490746049786]"
98,2019-01-08 23:59:28+00:00,tonymalone inge mausi vikingwilli jockarae lindamusgrove wattzzd moekaye phildo theunwantedbin quintrump tishmoscow dennish ppptce craigchermside side show lotusfastcar mcginnkeven someotherperso kathy yancyque ogdenonpolitics seblade larryputt jpfginger raycefuss keecowang musgrove mr fashionabanon dontcavitate drummondjeff realtexasslim aporter rowe deedra przeus starguardian unclesamatha seniorveteran herome nativemanley revolutionman queenfcups beckyomz tjreasonz sasso freedomsquad liquidqub cbsmith cdbaef damiankucich mamoobonnie an amazon item zero reviews.,"[22.546645660076454, 28.91111314957233, -11.105623201861434]"
99,2019-01-09 23:59:55+00:00,"""amazon boss bn divorce"" the richest couple the world calling quits, amazon ceo jeffbezos &amp; wife, novelist mackenzie announcing divorce years marriage, divorce settlement could set record","[74.38506088957426, 60.598952991722385, -8.530278795771395]"
101,2019-01-09 23:59:55+00:00,she bout get bag homie amazon bezos,"[38.53225272593987, 20.23043985893394, -10.549050000101602]"
102,2019-01-09 23:59:54+00:00,amazon will guys the sh monsterarts pre order godzilla king ghidorah soon?,"[29.8356369118691, 29.55623583985576, 0.8478269964732021]"
103,2019-01-09 23:59:52+00:00,why kylin amazon shopping toys ?????,"[28.753526847454413, 29.646144044560607, -10.73022131079135]"
104,2019-01-09 23:59:51+00:00,"therippedbodice i got amazon notice my items your menstrual products drive delivered you yesterday i apologize late delivery. when i placed order, the delivery date said /. no idea took long, i hope it was an inconvenience.","[78.20194109265758, 63.53031220154368, 3.0604611002475366]"
105,2019-01-09 23:59:51+00:00,patti stanger amazon jeff bezos t single long via pagesix,"[28.511717573318847, 7.6017112984254425, -11.266894682774726]"
106,2019-01-09 23:59:49+00:00,special upcomingrelease mmromance bookreview ~ the athlete the aristocrat louisa masters authorlouisam..check my new book review my blog a special read....️ hottreepromos amazon,"[33.322866027084565, 45.49297042076459, -10.513294921864173]"
