,Time,Text,Sentiment
104,2019-01-09 23:58:53+00:00,kpop fans leave alone stop sending pictures lee chan cvs? i don’t know he’s scary,"[15.95553395863664, 22.310665879048358, -11.464079653020278]"
105,2019-01-09 23:58:36+00:00,i need follow...i follow back,"[-3.217235738361963, -3.668275720291572, -10.817392633727366]"
106,2019-01-09 23:58:34+00:00,warning your resume filename sucks resume cv resumetips career jobsearch,"[40.645715966545936, 25.641311057776377, -13.729625884414908]"
107,2019-01-09 23:58:22+00:00,eicamis acabou cvs tchau,"[10.716043610173955, 10.618061488239416, -11.088218626188134]"
108,2019-01-09 23:57:25+00:00,cvs todoroki gives life every time i see new comic. customer service workers everywhere bow awe respect bows,"[43.26705348637224, 42.256150609267706, -13.284089223911693]"
109,2019-01-09 23:57:24+00:00,download act . latest cv,"[8.86071206079325, 18.49441755760507, -11.493745985970023]"
110,2019-01-10 23:59:58+00:00,my mom went cvs pick some prints she comes home fucking edited pictures my cat lmaoooo cant believe lady hated cats year ago,"[46.17504905633212, 28.33372652825689, 0.4526915456302305]"
112,2019-01-10 23:58:50+00:00,michelle obama shops cvs ellen,"[43.660466266047365, 53.637737739503386, -9.914317727307967]"
113,2019-01-10 23:58:49+00:00,and should allowed add to cvs,"[6.078201090136635, 17.418780341887654, -10.00240912387283]"
114,2019-01-10 23:57:18+00:00,is anything slower the cvs drive thru?,"[18.45505679952802, 9.864048712996286, -10.50163129766591]"
115,2019-01-10 23:57:07+00:00,sksk ya say right i think it comes your family you expect v not tactful all being mature adult. cvs showing wild v and villainous mama/mami justify it.,"[74.45436903280789, 44.537291341658104, -10.020575556041209]"
116,2019-01-10 23:56:35+00:00,"i’m still giving on displeasure cvs pharmacy main street, belleville michigan. there no regard the senior citizenat cvs shameon cvspharmacyinbellvillemi elderabuse","[29.00620758185813, 42.94841920241, -9.995139993819109]"
117,2019-01-10 23:56:21+00:00,do repeat action words within resume. resume resumetips,"[38.96279398018138, 20.65261286350494, -9.9866267858242]"
118,2019-01-10 23:56:12+00:00,cvs sales,"[10.911223582747846, 20.888495056203872, -10.916520675755262]"
