,Time,Text,Sentiment
77,2019-01-07 23:59:55+00:00,selasa terpesona edsheeran shape of you || pkpagi w/ linggapinata || download app google playstore malala radio &amp; nobex radio,"[15.137613967206281, 14.566284489745655, -9.838720064079993]"
79,2019-01-07 23:59:52+00:00,"sarah lieabee, say airports? repeat mike wallace said, terrorists t coming southern border, duh? thr stopped airports, you remember airports? sarah s called fact, you know a fact is, opposite ur lies lol google presssec","[55.26033131883212, 64.89186563564327, -8.6439576824162]"
80,2019-01-07 23:59:51+00:00,"get right it’s you’re a car crash. next thing remember waking and it’s . they pass a computer begin type “ many championships russell westbrook win”. google “ , he a shit load triple doubles.","[11.047275058443308, 19.064266963803632, -10.168658857648055]"
81,2019-01-07 23:59:41+00:00,central bank ireland gives go ahead google payments,"[20.924967247759664, 27.178997206221993, -11.18837871249837]"
82,2019-01-07 23:59:40+00:00,orwellian how apple google obliterated first amendment the mobile web,"[5.466921548971844, 3.703645787499759, -10.099496469349099]"
83,2019-01-07 23:59:39+00:00,cherries always let see do help. please follow us let us know you so we can share next steps dm.,"[7.611842976703376, 3.504854303416891, -9.804991504811497]"
84,2019-01-07 23:59:38+00:00,luciequissema sofia xbaa glorifieekim lucie yo nde google translate,"[11.209297978484376, 9.354644261335082, -11.422086859709328]"
85,2019-01-07 23:59:29+00:00,things twitter book chat reaching across peelschools &amp; canada. enter win copies filling this google form . deadline this thursday. wewap trctllp tllp is school the map?,"[49.18982406837173, 47.988458573535226, -9.785227802289327]"
86,2019-01-07 23:59:26+00:00,i found picture google reference. i don’t know it’s exact one rn i have no idea the fuck it’s the grass sjsksmks,"[5.353915833785, 17.104523079800643, -10.136186043340416]"
87,2019-01-07 23:59:24+00:00,all people my plant class oh god am i gonna remember this plant looks like me has access the internet knows to google something hm i wonder,"[29.498785149830685, 29.341323687748528, -9.392558500907839]"
88,2019-01-08 23:59:59+00:00,when google part your family. ces google googleassistant earlyadopter petersonderek,"[-3.3835261414392717, 4.58012221141707, -10.86303788228664]"
90,2019-01-08 23:59:53+00:00,had finally step google teampixel googlepixel pixel,"[-1.4418290576946007, 3.934113876623847, -10.91365768813737]"
91,2019-01-08 23:59:52+00:00,"i my google jamboard less hours, students my robitics club loved they took control it gtmsedtech googleedu thankful studentleaders cs gtms respect etcoaches","[38.21817351900793, 66.77863840210875, -12.877354409509834]"
92,2019-01-08 23:59:52+00:00,if thought looked stupid wearing google glass...,"[3.5970861124658144, -3.25055666932321, -12.19004016222113]"
93,2019-01-08 23:59:50+00:00,"""hey google, my thai interpreter.""","[20.100104984789507, 20.352935616765294, -10.59953130030189]"
94,2019-01-08 23:59:49+00:00,"google will showcare ride ces coming disneyparks epcot it’s innoventions needs. nice cutting edge story google, directing say the bakery","[50.834335101378784, 26.224076982330615, -11.39972799099445]"
95,2019-01-08 23:59:48+00:00,fidom google,"[-1.5928022067237049, -2.771852680319704, -11.242369306015393]"
96,2019-01-08 23:59:46+00:00,gethunted google’s latest pixel update improves audio quality video recordings,"[30.691333609924246, 49.39265219166425, -9.58321828651765]"
97,2019-01-08 23:59:44+00:00,"om google youtube what’s wrong? you’re watching comedy politics, it’s political ad clearly marked such.","[73.87513807202096, 53.7319123813452, 2.00478018330287]"
98,2019-01-08 23:59:40+00:00,down dns lookup au oceania sydney google ... reported kr asia s. korea kt idc,"[21.33405360924832, 43.48212874653106, 0.7825676616127168]"
99,2019-01-09 23:59:59+00:00,"used google screen call function today, &amp; s one new favorite technological breakthroughs ever. my goal to never receive another voicemail ever","[18.111147193184383, 46.9458899768474, -9.817635745688406]"
101,2019-01-09 23:59:56+00:00,google search results listings be manipulated propaganda via zdnet &amp; campuscodi,"[17.667409341664342, 16.508847942660488, -10.36608982148956]"
102,2019-01-09 23:59:55+00:00,redwoodricker frankluntz we a long history involvement central america destabilized governments. google “us destabilizing central america” you find lots examples.,"[19.116950705828717, 25.07443228022428, -10.453847093678704]"
103,2019-01-09 23:59:55+00:00,vault | dec multiple businesses same physical address. will i ignored google m� q&amp;a dsqlive seo,"[75.14364174229537, 35.93165906192354, 13.067963550780718]"
104,2019-01-09 23:59:55+00:00,fun trip today ces check google assistant all the ways can help our day day lives worth checking if haven’t by yet heygoogle rt,"[29.971474552553577, 19.866418055716665, -11.77076151591173]"
105,2019-01-09 23:59:54+00:00,any interest live study session esp. finals coming?? lmk i’ll sending a google form on classroom tomorrow asking requested time/day,"[30.953830897748606, 27.171454944104994, -9.105157276941085]"
106,2019-01-09 23:59:48+00:00,google exists a reason rose god stfu,"[20.914294431372507, 9.476535525913803, -11.199339719716896]"
107,2019-01-09 23:59:41+00:00,dawnhfoster i’m going get google alert that thatcher’s still deid lol,"[7.224465694396867, 7.603697716302904, -10.21096582411662]"
108,2019-01-09 23:59:39+00:00,having fun google home mini thanks the freebie telstra ways google home be helpful work via computerworld,"[19.877069124810664, 22.932652160886875, -0.19928309105613096]"
109,2019-01-09 23:59:36+00:00,google working disable knowledge graph hack shows misleading search results rustybrick,"[30.67960888164421, 40.81899359845252, -10.61695386704983]"
110,2019-01-10 23:59:56+00:00,"youtubemusic so i playlists downloaded songs google play music was part a youtube red subscription. now, premium, is longer case. if i make playlists youtubemusic download i getting audio the video too? audio = on.","[7.430750303755436, 42.45678119661146, -7.966296835295836]"
112,2019-01-10 23:59:54+00:00,"mrtimwallace nbaallstar nba google so stupid. it’s cause fans picking name what see the court, cause then they would know hasn’t played season. if gets which i doubt will he that would be dumb","[-10.549947688598404, 20.785810412748518, -10.729185914295144]"
113,2019-01-10 23:59:54+00:00,"perrico querico wow, know google is. good job, kiddo","[0.9078833825504631, 6.461809252034257, -13.201194269606177]"
114,2019-01-10 23:59:53+00:00,google still says our post on content moderation is dangerous or derogatory via techdirt,"[30.216388717622596, 3.2037620605960906, -9.256782710263963]"
115,2019-01-10 23:59:52+00:00,fergie fergie please don’t that. please google “dolphin project” &amp; taiji dolphin hunt. you need educate yourself. dolphins don’t belong captivity.,"[22.458473445985387, 18.472051798543795, 1.548890079407812]"
116,2019-01-10 23:59:52+00:00,okay google remind monday clip highlight me talking the collectible aspect batman penis,"[30.147320245616708, 18.75689107651091, -10.177536394383537]"
117,2019-01-10 23:59:52+00:00,"anyone using superhumanco find good system automatically pulling all travel plans, like google inbox it?","[28.763564823473676, -0.5205863616391615, 10.803863571203593]"
118,2019-01-10 23:59:51+00:00,"realvegasbackup i literally google her, still don’t know her... a star enough to get mill","[-4.740448677966294, 15.28938072124945, -11.131536997107276]"
119,2019-01-10 23:59:49+00:00,pittsburgh’s trending photobooth rentals google,"[-1.3976222341498137, 6.805433707084807, -11.070671355582519]"
120,2019-01-10 23:59:46+00:00,amazon developing new game streaming service compete microsoft google,"[29.511058401346272, 18.103786529072103, -10.425832805880141]"
121,2019-01-11 23:59:55+00:00,"with yesterdays crazy strong winds, google assistant cropped piece action of yesterdays searches. even google assistant recognize crazy figure eight nose patterns","[50.56698478107537, 33.54562671309283, -11.484309278381332]"
123,2019-01-11 23:59:53+00:00,not i brace... also fitted with something called a palate extender... you would like see pain discomfort brings do check google images.,"[-8.74995214487586, 11.875992548258552, -10.729104266323887]"
124,2019-01-11 23:59:53+00:00,kombatguru google,"[-1.5928022067237049, -2.771852680319704, -11.242369306015393]"
125,2019-01-11 23:59:53+00:00,"daveleebbc don default the accent where are? what bugs more that they re female default, i t think can change either alexa google home","[22.989308852113826, 15.1765585526188, -9.264613091973288]"
126,2019-01-11 23:59:51+00:00,blue systems international google nowpicom privateinvestigatorinorangecounty privateinvestigatorinlosangeles santaanaprivateinvestigator surveillance confidentialinvestigation privateinvestigator detective backgroundchecks,"[9.195824677898422, 19.20818402536775, 1.057438152371244]"
127,2019-01-11 23:59:51+00:00,google dns service ... now supports dns tls security,"[31.074785500963937, 21.45845039116636, -10.126198803571782]"
128,2019-01-11 23:59:49+00:00,"maskyarts should google ""chrom wants poster"" is much amazing fanart this","[-1.153088038930686, -6.587251801326424, -12.64479693291414]"
129,2019-01-11 23:59:48+00:00,data makes world go round round... tour world data google,"[20.204554414781203, 38.285571523047324, -9.866732456499449]"
130,2019-01-11 23:59:44+00:00,gruntwork anything that’ll cast. mostly google music spotify.,"[-2.3284419630326125, 6.562027038254996, -10.882703537241625]"
131,2019-01-11 23:59:40+00:00,i added video a youtube playlist tolerant google,"[6.891424221559217, 16.432620201484603, -10.613014117399032]"
132,2019-01-12 23:59:56+00:00,"check my podcast, the o.d, google podcasts","[-3.9198137152682575, 4.220816000790887, -10.651597376998083]"
134,2019-01-12 23:59:50+00:00,spleenyoongi « ok google comment respire »,"[-3.0970591162436802, 5.2776914418248495, -10.706366577695512]"
135,2019-01-12 23:59:42+00:00,"day resources. i so appreciated flying geese page. yes, i could google watch youtube, i love everything here one page. two methods various sizes options. qpbestyearever","[51.0979012613603, 64.32451639598554, 0.5428209644621944]"
136,2019-01-12 23:59:40+00:00,"prageru hits back against online censorship, sues google second time via activistmommy","[5.828964622681544, -4.928033736489105, 0.9349792999738042]"
137,2019-01-12 23:59:38+00:00,thewaynew woodlandwallers lynskab maskedsingerfox gladys also started music the with siblings cousins. i went google hard lol,"[-4.055962654018468, -5.646847735218074, -11.126962022618812]"
138,2019-01-12 23:59:37+00:00,ishikuchiki xboxqwik playstation beastfiretimdog jamiemoranuk came on google news feed. first thing. had see,"[7.382769743979378, 6.499517058795, -10.133051464987076]"
139,2019-01-12 23:59:36+00:00,"sitelinks tip set sitelink descriptions google, bing ads do dynamically search engine land","[53.353288941927836, 61.09244159105676, -9.746563889423811]"
140,2019-01-12 23:59:34+00:00,"scottcollura definitely my concern that coming us soon chip implants, google glass type stuff dehumanize us, tng seemed find comfortable way integrate tech humanity. if tech new show goes beyond this, will this mean humanity?","[59.406726175637026, 46.53489714836975, 0.6686831064133543]"
141,2019-01-12 23:59:31+00:00,"please, please paste into google translator. this bananas...","[19.970433944267338, 9.258462105914212, 0.9959959598989059]"
142,2019-01-12 23:59:22+00:00,checking the new googlepixel ️ google pixel,"[7.668657880119345, -4.592405953362096, -10.647298297634883]"
143,2019-01-13 23:59:57+00:00,"there still time sign for google certified educator level bootcamp plaquemine. thursday, january th. time the federal program bldg auditorium. ipsbproud ibervilleschool","[50.47291257392307, 48.08809316543618, -8.834555878466688]"
145,2019-01-13 23:59:52+00:00,sumber google quotefancy,"[-1.5928022067237049, -2.771852680319704, -11.242369306015393]"
146,2019-01-13 23:59:50+00:00,androidcentral there t google photos folder my google drive the article says. is supposed be?,"[23.341098086357906, 13.245199577558992, -8.997045048671438]"
147,2019-01-13 23:59:43+00:00,goal actually make release songs i write just keep my google docs,"[16.722865152355144, 16.241199468443213, -9.966753334633509]"
148,2019-01-13 23:59:30+00:00,tanialbakerhui google says s marine,"[-3.5819883957060936, 5.044076590643343, -10.657480715167239]"
149,2019-01-13 23:59:29+00:00,spiff close browser restart device/ pc try accessing google photos again. if issue still persists please reply thread clicking the link we take from /,"[70.94789564826709, 25.7369273774152, -7.927013018368299]"
150,2019-01-13 23:59:27+00:00,ikonicsugakook google,"[-1.5928022067237049, -2.771852680319704, -11.242369306015393]"
151,2019-01-13 23:59:01+00:00,bagelbyy google never tells anyone what they do.,"[2.999277881518336, -2.8434770292311176, -10.436463483592597]"
152,2019-01-13 23:59:01+00:00,this awesome i love learning new google tricks like,"[12.038251344869327, 12.407191049147869, -13.009048795953277]"
