,Time,Text,Sentiment
65,2019-01-05 22:39:43+00:00,the government goldman sachs,"[10.356517788309981, 10.250761795397802, -10.950627334600156]"
66,2019-01-06 23:59:15+00:00,goldman sachs misses out big alibaba payoff,"[7.00972837776136, 0.05142994483600871, -12.290162429860732]"
68,2019-01-06 23:52:00+00:00,"goldman cuts month copper target to ,/t from ,/t goldman sachs maintains month copper target at ,/ton hedged","[28.003776791876806, 28.936796022676518, -9.303800582274931]"
69,2019-01-06 23:51:26+00:00,goldman sachs asks what if lebanon is forced restructure debt,"[18.918949282139693, 1.1477761244409517, -0.19535187746529203]"
70,2019-01-06 23:43:18+00:00,"goldman sachs, want hold racks","[6.973710056978322, -1.9604649820075477, -11.039824506119084]"
71,2019-01-06 23:40:06+00:00,goldman sachs cuts oil forecasts; sees prices still undervalued goldman cuts brent forecast to ./b vs previously goldman cuts wti forecast to ./b vs . previously,"[111.85173569219778, 114.03294314960915, 4.213546782313287]"
72,2019-01-06 23:40:04+00:00,the one issue left right can agree on even tucker carlson goldman sachs talking the pernicious impact monopolies the u.s.,"[13.454217148750107, 17.625195852768428, -10.261739085708896]"
73,2019-01-06 23:29:55+00:00,"fl oil – goldman sachs cuts price forecasts january , pm","[32.541546851863515, 43.59310138387147, -10.187096931322387]"
74,2019-01-06 23:29:48+00:00,ryanicnn haydentiff upholdinc circleinvest because goldman sachs invests real blockchain projects a literal shitcoin,"[8.950468613510282, -0.4943855587621795, -11.942335609238405]"
75,2019-01-06 23:27:06+00:00,oil goldman sachs cuts price forecasts,"[33.57235425487686, 33.49191606994897, -10.41451974471287]"
76,2019-01-06 23:25:58+00:00,oil goldman sachs cuts price forecasts,"[33.57235425487686, 33.49191606994897, -10.41451974471287]"
77,2019-01-07 23:58:57+00:00,". govmurphy election slogan ""governor who ll have your back."" joncorzine goldmansachs clone now, newjersey guncontrol ️ higher taxes a sanctuarystate &amp; no. ""in people fleeing"". liberalismisamentaldisease trumptrain maga","[52.39553096963211, 42.97744577789019, -9.252581291054256]"
